  1.0000005e+000	  1.0000062e+000	  1.0000344e+000	  1.2438063e+000	  1.9698239e+000	
  1.0000005e+000	  1.0000817e+000	  1.0004312e+000	  1.0160166e+000	  1.9998716e+000	
  1.0000012e+000	  1.0000092e+000	  1.3075201e+000	  1.1296676e+000	  1.9426652e+000	
  1.0000014e+000	  1.0000028e+000	  1.0004229e+000	  1.0001588e+000	  1.9999999e+000	
  1.0000014e+000	  1.0000056e+000	  1.0000959e+000	  1.0000654e+000	  2.0000000e+000	
  1.0000020e+000	  1.0000853e+000	  1.0000244e+000	  1.9894550e+000	  1.1448408e+000	
  1.0000023e+000	  1.0000155e+000	  1.0000258e+000	  1.0000288e+000	  2.0000000e+000	
  1.0000077e+000	  1.0007110e+000	  1.1110888e+000	  1.0681332e+000	  1.9914720e+000	
  1.0000080e+000	  1.0015042e+000	  1.3404261e+000	  1.9171118e+000	  1.2073977e+000	
  1.0000122e+000	  1.0003027e+000	  1.0012845e+000	  1.0024632e+000	  1.9999961e+000	
  1.0000125e+000	  1.0000102e+000	  1.0000483e+000	  1.0258089e+000	  1.9996669e+000	
  1.0000146e+000	  1.0000104e+000	  1.0000169e+000	  1.1584366e+000	  1.9873692e+000	
  1.0000174e+000	  1.0000231e+000	  1.0116331e+000	  1.0102499e+000	  1.9998798e+000	
  1.0000249e+000	  1.0009465e+000	  1.0257316e+000	  1.0846835e+000	  1.9960751e+000	
  1.0000271e+000	  1.0031138e+000	  1.0022415e+000	  1.0054187e+000	  1.9999780e+000	
  1.0000352e+000	  1.0068289e+000	  1.0019088e+000	  1.7994318e+000	  1.6007150e+000	
  1.0000366e+000	  1.0014062e+000	  1.6168461e+000	  1.7843698e+000	  1.0652905e+000	
  1.0000432e+000	  1.0001254e+000	  1.0002957e+000	  1.0000604e+000	  1.9999999e+000	
  1.0000495e+000	  1.0045857e+000	  1.0032316e+000	  1.0365300e+000	  1.9993168e+000	
  1.0000515e+000	  1.0001259e+000	  1.0012880e+000	  1.2395477e+000	  1.9708837e+000	
  1.0000609e+000	  1.0000696e+000	  1.0003701e+000	  1.0790730e+000	  1.9968688e+000	
  1.0000678e+000	  1.0001878e+000	  1.0035866e+000	  1.0855472e+000	  1.9963276e+000	
  1.0000774e+000	  1.0001323e+000	  1.3064546e+000	  1.4817859e+000	  1.8209555e+000	
  1.0000794e+000	  1.0014591e+000	  1.0915945e+000	  1.9190682e+000	  1.3833039e+000	
  1.0000830e+000	  1.0003858e+000	  1.0002290e+000	  1.0003789e+000	  1.9999998e+000	
  1.0000858e+000	  1.0001029e+000	  1.0529365e+000	  1.9693985e+000	  1.2397171e+000	
  1.0000908e+000	  1.0001755e+000	  1.0015411e+000	  1.0001149e+000	  1.9999988e+000	
  1.0000918e+000	  1.0010701e+000	  1.0050553e+000	  1.0055813e+000	  1.9999711e+000	
  1.0000962e+000	  1.0493609e+000	  1.1285877e+000	  1.0241189e+000	  1.9901752e+000	
